event_id,season,player_id,player_name,from_club_id,from_club,to_club_id,to_club,semantic_type,fee_text,paired_internal_faces,source_faces
TM-2026-00001,2026/27,1004344,Ali Dembélé,2581,Mantova 1911,416,Torino FC,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,0,IN
TM-2026-00002,2026/27,1004344,Ali Dembélé,416,Torino FC,1005,US Lecce,LOAN,Loan fee: €150k,1,IN+OUT
TM-2026-00003,2026/27,1004723,Fellipe Jack,1047,Como 1907,2239,US Cremonese,LOAN,loan transfer,0,OUT
TM-2026-00004,2026/27,1004723,Fellipe Jack,4097,US Catanzaro,1047,Como 1907,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,0,IN
TM-2026-00005,2026/27,1009616,Dominik Drobnic,5243,Parma Primavera,130,Parma Calcio 1913,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2026-00006,2026/27,1009633,David Pejičić,790,NK Maribor,410,Udinese Calcio,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,0,IN
TM-2026-00007,2026/27,101213,Pedro Obiang,2919,AC Monza,,Retired,RETIREMENT,-,0,OUT
TM-2026-00008,2026/27,1012731,Luis Balbo,430,ACF Fiorentina,122,SK Sturm Graz,PERMANENT_OR_OTHER_EXPLICIT,€1.50m,0,OUT
TM-2026-00009,2026/27,1015822,Eman Košpo,430,ACF Fiorentina,2581,Mantova 1911,LOAN,loan transfer,0,OUT
TM-2026-00010,2026/27,1017950,Vernon Addo,57870,Krasava ENY,1005,US Lecce,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,0,IN
TM-2026-00011,2026/27,1018026,Ukko Happonen,14848,Bologna Primavera,1025,Bologna FC 1909,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2026-00012,2026/27,1019116,Giorgio Vezzosi,19114,Sassuolo Primavera,6574,US Sassuolo,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2026-00013,2026/27,1028162,Antoine Joujou,130,Parma Calcio 1913,995,FC Nantes,PERMANENT_OR_OTHER_EXPLICIT,€1.00m,0,OUT
TM-2026-00014,2026/27,1028162,Antoine Joujou,3329,FC Famalicão,130,Parma Calcio 1913,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,0,IN
TM-2026-00015,2026/27,1028399,Borna Knezovic,4331,FC Trapani 1905,6574,US Sassuolo,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,0,IN
TM-2026-00016,2026/27,1028399,Borna Knezovic,6574,US Sassuolo,6089,Casarano Calcio,PERMANENT_OR_OTHER_EXPLICIT,?,0,OUT
TM-2026-00017,2026/27,1036405,Omar Fayed,36,Fenerbahce,8970,Frosinone Calcio,PERMANENT_OR_OTHER_EXPLICIT,€500k,0,IN
TM-2026-00018,2026/27,1039342,Raphael Kofler,4554,FC Südtirol,1390,Cagliari Calcio,LOAN,loan transfer,0,IN
TM-2026-00019,2026/27,1040080,Tommaso Gabellini,12130,Torino Primavera,416,Torino FC,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2026-00020,2026/27,1040080,Tommaso Gabellini,416,Torino FC,9816,Forlì FC,LOAN,loan transfer,0,OUT
TM-2026-00021,2026/27,1041129,Yvan Maye,41119,Inter U23,2919,AC Monza,LOAN,loan transfer,0,IN
TM-2026-00022,2026/27,1044794,Alessandro Debenedetti,20519,Virtus Entella,252,Genoa CFC,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,0,IN
TM-2026-00023,2026/27,1044794,Alessandro Debenedetti,252,Genoa CFC,1429,Cesena FC,LOAN,loan transfer,0,OUT
TM-2026-00024,2026/27,1045124,Jay Robinson,180,Southampton FC,2919,AC Monza,LOAN,loan transfer,0,IN
TM-2026-00025,2026/27,1046867,Jan Ziolkowski,12,AS Roma,2919,AC Monza,LOAN,Loan fee: €500k,1,IN+OUT
TM-2026-00026,2026/27,1048013,Nicola Grandu,11676,Cagliari Primavera,1390,Cagliari Calcio,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2026-00027,2026/27,1048147,Federico Cassa,1025,Bologna FC 1909,4097,US Catanzaro,LOAN,loan transfer,0,OUT
TM-2026-00028,2026/27,1048147,Federico Cassa,41110,Atalanta U23,1025,Bologna FC 1909,PERMANENT_OR_OTHER_EXPLICIT,?,0,IN
TM-2026-00029,2026/27,1049596,Filippo Grosso,8970,Frosinone Calcio,4083,FC Crotone,LOAN,loan transfer,0,OUT
TM-2026-00030,2026/27,1049862,Samuele Capolupo,2919,AC Monza,3522,Spezia Calcio,LOAN,loan transfer,0,OUT
TM-2026-00031,2026/27,1051737,Kevin Barcella,8970,Frosinone Calcio,4083,FC Crotone,LOAN,loan transfer,0,OUT
TM-2026-00032,2026/27,1053217,Filippo Reale,12,AS Roma,4159,Carrarese Calcio 1908,LOAN,loan transfer,0,OUT
TM-2026-00033,2026/27,1053217,Filippo Reale,2331,US Avellino 1912,12,AS Roma,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,0,IN
TM-2026-00034,2026/27,1054169,Giulio Scuderi,430,ACF Fiorentina,5587,SS Juve Stabia,LOAN,loan transfer,0,OUT
TM-2026-00035,2026/27,1054169,Giulio Scuderi,52687,Alcione Milano,430,ACF Fiorentina,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,0,IN
TM-2026-00036,2026/27,1054460,Elia Barbaro,1025,Bologna FC 1909,515,Without Club,FREE_AGENT_OR_END_OF_CONTRACT,-,0,OUT
TM-2026-00037,2026/27,1054460,Elia Barbaro,4114,Nocerina Calcio,1025,Bologna FC 1909,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,0,IN
TM-2026-00038,2026/27,1055861,Giuseppe Battimelli,1025,Bologna FC 1909,5514,Calcio Lecco 1912,FREE_TRANSFER,free transfer,0,OUT
TM-2026-00039,2026/27,1056287,Pietro Pinelli,398,SS Lazio,4159,Carrarese Calcio 1908,LOAN,loan transfer,0,OUT
TM-2026-00040,2026/27,1056287,Pietro Pinelli,5621,AC Reggiana 1919,398,SS Lazio,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,0,IN
TM-2026-00041,2026/27,1056746,Wisdom Acquah,12130,Torino Primavera,416,Torino FC,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2026-00042,2026/27,1056746,Wisdom Acquah,416,Torino FC,1385,Modena FC,LOAN,loan transfer,0,OUT
TM-2026-00043,2026/27,1057316,Franco Mastantuono,418,Real Madrid,430,ACF Fiorentina,LOAN,loan transfer,0,IN
TM-2026-00044,2026/27,1057563,Christ-Owen Kouassi,1005,US Lecce,1290,Grenoble Foot 38,LOAN,loan transfer,0,OUT
TM-2026-00045,2026/27,1057563,Christ-Owen Kouassi,1080,Stade Lavallois,1005,US Lecce,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,0,IN
TM-2026-00046,2026/27,1057839,Lapo Deli,749,FC Empoli,430,ACF Fiorentina,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2027,0,IN
TM-2026-00047,2026/27,1058354,Matteo Palma,1038,UC Sampdoria,410,Udinese Calcio,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,0,IN
TM-2026-00048,2026/27,1058363,Christian Comotto,3522,Spezia Calcio,5,AC Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,0,IN
TM-2026-00049,2026/27,1058366,Simone Lontani,10958,AC Milan Primavera,130,Parma Calcio 1913,FREE_TRANSFER,free transfer,0,IN
TM-2026-00050,2026/27,1058368,Francesco Camarda,1005,US Lecce,5,AC Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026 €1.35m,1,IN+OUT
TM-2026-00051,2026/27,1059298,Côme Bianay Balcot,2581,Mantova 1911,416,Torino FC,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,0,IN
TM-2026-00052,2026/27,1059298,Côme Bianay Balcot,416,Torino FC,1154,Red Star FC,LOAN,loan transfer,0,OUT
TM-2026-00053,2026/27,1059730,Giuseppe Mazzaglia,1047,Como 1907,26251,US Folgore Caratese,PERMANENT_OR_OTHER_EXPLICIT,?,0,OUT
TM-2026-00054,2026/27,1059730,Giuseppe Mazzaglia,1408,Piacenza Calcio 1919,1047,Como 1907,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,0,IN
TM-2026-00055,2026/27,1061820,Lorenzo Venturino,12,AS Roma,252,Genoa CFC,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,1,IN+OUT
TM-2026-00056,2026/27,1063011,Gabriele Pessolani,252,Genoa CFC,22188,AC Crema 1908,LOAN,loan transfer,0,OUT
TM-2026-00057,2026/27,1063011,Gabriele Pessolani,4553,US Pergolettese 1932,252,Genoa CFC,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,0,IN
TM-2026-00058,2026/27,1063704,Damar Dixon,46823,Toronto FC II,8970,Frosinone Calcio,LOAN_RETURN_OR_END_OF_LOAN,End of loan 31/12/2026,0,IN
