season,association_code,country,competition,competition_level,team,league_size,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,points_per_game,goal_difference_per_game,ppg_percentile,percentile_basis,table_basis,source,source_ref,source_path,source_git_blob_sha,source_file_sha256
2021-22,ENG,England,Premier League,1,Crystal Palace FC,20,38,11,15,12,50,46,4,48,1.263157894736842,0.10526315789473684,0.42105263157894735,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2021-22/1-premierleague.txt,2021-22/1-premierleague.txt,d7e11e9134bfd03a7e847848f50029473bf9af9a,592df232fbc7c2f36ec3e643eef608f77fcbf7d8da0706c94c99248d60b932b3
2021-22,ENG,England,Premier League,1,Brentford FC,20,38,13,7,18,48,56,-8,46,1.2105263157894737,-0.21052631578947367,0.3684210526315789,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2021-22/1-premierleague.txt,2021-22/1-premierleague.txt,d7e11e9134bfd03a7e847848f50029473bf9af9a,592df232fbc7c2f36ec3e643eef608f77fcbf7d8da0706c94c99248d60b932b3
2021-22,ENG,England,Premier League,1,Aston Villa FC,20,38,13,6,19,52,54,-2,45,1.1842105263157894,-0.05263157894736842,0.3157894736842105,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2021-22/1-premierleague.txt,2021-22/1-premierleague.txt,d7e11e9134bfd03a7e847848f50029473bf9af9a,592df232fbc7c2f36ec3e643eef608f77fcbf7d8da0706c94c99248d60b932b3
2021-22,ENG,England,Premier League,1,Southampton FC,20,38,9,13,16,43,67,-24,40,1.0526315789473684,-0.631578947368421,0.2631578947368421,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2021-22/1-premierleague.txt,2021-22/1-premierleague.txt,d7e11e9134bfd03a7e847848f50029473bf9af9a,592df232fbc7c2f36ec3e643eef608f77fcbf7d8da0706c94c99248d60b932b3
2021-22,ENG,England,Premier League,1,Everton FC,20,38,11,6,21,43,66,-23,39,1.0263157894736843,-0.6052631578947368,0.21052631578947367,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2021-22/1-premierleague.txt,2021-22/1-premierleague.txt,d7e11e9134bfd03a7e847848f50029473bf9af9a,592df232fbc7c2f36ec3e643eef608f77fcbf7d8da0706c94c99248d60b932b3
2021-22,ENG,England,Premier League,1,Leeds United FC,20,38,9,11,18,42,79,-37,38,1,-0.9736842105263158,0.15789473684210525,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2021-22/1-premierleague.txt,2021-22/1-premierleague.txt,d7e11e9134bfd03a7e847848f50029473bf9af9a,592df232fbc7c2f36ec3e643eef608f77fcbf7d8da0706c94c99248d60b932b3
2021-22,ENG,England,Premier League,1,Burnley FC,20,38,7,14,17,34,53,-19,35,0.9210526315789473,-0.5,0.10526315789473684,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2021-22/1-premierleague.txt,2021-22/1-premierleague.txt,d7e11e9134bfd03a7e847848f50029473bf9af9a,592df232fbc7c2f36ec3e643eef608f77fcbf7d8da0706c94c99248d60b932b3
2021-22,ENG,England,Premier League,1,Watford FC,20,38,6,5,27,34,77,-43,23,0.6052631578947368,-1.131578947368421,0.05263157894736842,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2021-22/1-premierleague.txt,2021-22/1-premierleague.txt,d7e11e9134bfd03a7e847848f50029473bf9af9a,592df232fbc7c2f36ec3e643eef608f77fcbf7d8da0706c94c99248d60b932b3
2021-22,ENG,England,Premier League,1,Norwich City FC,20,38,5,7,26,23,84,-61,22,0.5789473684210527,-1.605263157894737,0,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2021-22/1-premierleague.txt,2021-22/1-premierleague.txt,d7e11e9134bfd03a7e847848f50029473bf9af9a,592df232fbc7c2f36ec3e643eef608f77fcbf7d8da0706c94c99248d60b932b3
2022-23,ENG,England,Premier League,1,Manchester City FC,20,38,28,5,5,94,33,61,89,2.3421052631578947,1.605263157894737,1,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2022-23/1-premierleague.txt,2022-23/1-premierleague.txt,3ef9d512d2150732c18ff6e39c9d7b20f446a050,c85a2f8ac64975435b8359eb923eaa09e48f33d47672c8b32d2c6e99a8cec5f0
