event_id,season,player_id,player_name,from_club_id,from_club,to_club_id,to_club,semantic_type,fee_text,paired_internal_faces,source_faces
TM-2023-00001,2023/24,1004344,Ali Dembélé,12130,Torino Primavera,416,Torino FC,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2023-00002,2023/24,1004344,Ali Dembélé,416,Torino FC,607,Venezia FC,LOAN,loan transfer,0,OUT
TM-2023-00003,2023/24,1009633,David Pejičić,10959,Udinese Primavera,410,Udinese Calcio,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2023-00004,2023/24,1012421,Matija Popović,12819,Napoli Primavera,2919,AC Monza,LOAN,loan transfer,0,IN
TM-2023-00005,2023/24,1014243,Vivaldo Semedo,410,Udinese Calcio,724,FC Volendam,LOAN,loan transfer,0,OUT
TM-2023-00006,2023/24,1026255,Saná Fernandes,12816,Lazio U19,398,SS Lazio,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2023-00007,2023/24,104752,Konstantinos Manolas,515,Without Club,380,US Salernitana 1919,FREE_AGENT_OR_END_OF_CONTRACT,-,0,IN
TM-2023-00008,2023/24,1082519,Charlys,15555,EC Vitória U20,276,Hellas Verona,LOAN,loan transfer,0,IN
TM-2023-00009,2023/24,110925,Francesco Bardi,1025,Bologna FC 1909,5621,AC Reggiana 1919,FREE_TRANSFER,free transfer,0,OUT
TM-2023-00010,2023/24,1111663,Kingstone Mutandwa,11676,Cagliari Primavera,1390,Cagliari Calcio,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2023-00011,2023/24,112302,Roberto Pereyra,410,Udinese Calcio,515,Without Club,FREE_AGENT_OR_END_OF_CONTRACT,-,0,OUT
TM-2023-00012,2023/24,112302,Roberto Pereyra,515,Without Club,410,Udinese Calcio,FREE_AGENT_OR_END_OF_CONTRACT,-,0,IN
TM-2023-00013,2023/24,115763,Koray Günter,1038,UC Sampdoria,276,Hellas Verona,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2023,0,IN
TM-2023-00014,2023/24,115763,Koray Günter,276,Hellas Verona,6646,Fatih Karagümrük,LOAN,loan transfer,0,OUT
TM-2023-00015,2023/24,1159022,Mateus Lusuardi,21828,Criciúma EC U20,8970,Frosinone Calcio,PERMANENT_OR_OTHER_EXPLICIT,€300k,0,IN
TM-2023-00016,2023/24,119031,Kaan Ayhan,141,Galatasaray,6574,US Sassuolo,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2023,0,IN
TM-2023-00017,2023/24,119031,Kaan Ayhan,6574,US Sassuolo,141,Galatasaray,PERMANENT_OR_OTHER_EXPLICIT,€2.80m,0,OUT
TM-2023-00018,2023/24,119228,Luis Muriel,800,Atalanta BC,45604,Orlando City SC,PERMANENT_OR_OTHER_EXPLICIT,€2.10m,0,OUT
TM-2023-00019,2023/24,124769,Luca Marrone,2919,AC Monza,5514,Calcio Lecco 1912,FREE_TRANSFER,free transfer,0,OUT
TM-2023-00020,2023/24,126540,Samuel Umtiti,1005,US Lecce,131,FC Barcelona,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2023,0,OUT
TM-2023-00021,2023/24,12907,Alessio Cragno,1390,Cagliari Calcio,2919,AC Monza,PERMANENT_OR_OTHER_EXPLICIT,€3.60m,1,IN+OUT
TM-2023-00022,2023/24,12907,Alessio Cragno,2919,AC Monza,1390,Cagliari Calcio,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2023,1,IN+OUT
TM-2023-00023,2023/24,12907,Alessio Cragno,2919,AC Monza,6574,US Sassuolo,LOAN,loan transfer,1,IN+OUT
TM-2023-00024,2023/24,130360,Simone Verdi,276,Hellas Verona,416,Torino FC,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2023,1,IN+OUT
TM-2023-00025,2023/24,130360,Simone Verdi,416,Torino FC,1047,Como 1907,PERMANENT_OR_OTHER_EXPLICIT,€1.80m,0,OUT
TM-2023-00026,2023/24,131075,Francesco Acerbi,398,SS Lazio,46,Inter Milan,PERMANENT_OR_OTHER_EXPLICIT,€4.00m,1,IN+OUT
TM-2023-00027,2023/24,131075,Francesco Acerbi,46,Inter Milan,398,SS Lazio,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2023,1,IN+OUT
TM-2023-00028,2023/24,131731,Mehdi Bourabia,3522,Spezia Calcio,8970,Frosinone Calcio,FREE_TRANSFER,free transfer,0,IN
TM-2023-00029,2023/24,131731,Mehdi Bourabia,8970,Frosinone Calcio,3205,Kayserispor,PERMANENT_OR_OTHER_EXPLICIT,?,0,OUT
TM-2023-00030,2023/24,131951,Kevin Lasagna,276,Hellas Verona,6646,Fatih Karagümrük,LOAN,loan transfer,0,OUT
TM-2023-00031,2023/24,134383,Tommaso Morosini,2919,AC Monza,60004,USD Cisanese,FREE_TRANSFER,free transfer,0,OUT
TM-2023-00032,2023/24,134383,Tommaso Morosini,74951,Sangiuliano City,2919,AC Monza,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2023,0,IN
TM-2023-00033,2023/24,134983,Andrea La Mantia,2722,SPAL,749,FC Empoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2023,0,IN
TM-2023-00034,2023/24,134983,Andrea La Mantia,749,FC Empoli,2722,SPAL,PERMANENT_OR_OTHER_EXPLICIT,€1.00m,0,OUT
TM-2023-00035,2023/24,135208,Riza Durmisi,398,SS Lazio,515,Without Club,FREE_AGENT_OR_END_OF_CONTRACT,-,0,OUT
TM-2023-00036,2023/24,135208,Riza Durmisi,648,CD Tenerife,398,SS Lazio,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2023,0,IN
TM-2023-00037,2023/24,136111,Nicola Leali,408,Ascoli Calcio,252,Genoa CFC,FREE_TRANSFER,free transfer,0,IN
TM-2023-00038,2023/24,144143,Bartosz Bereszyński,1038,UC Sampdoria,749,FC Empoli,LOAN,loan transfer,0,IN
TM-2023-00039,2023/24,144143,Bartosz Bereszyński,6195,SSC Napoli,1038,UC Sampdoria,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2023,0,OUT
TM-2023-00040,2023/24,144244,Pantelis Hatzidiakos,1090,AZ Alkmaar,1390,Cagliari Calcio,PERMANENT_OR_OTHER_EXPLICIT,€2.70m,0,IN
TM-2023-00041,2023/24,146680,Andrea Barberis,2919,AC Monza,4172,Pisa Sporting Club,FREE_TRANSFER,free transfer,0,OUT
TM-2023-00042,2023/24,146752,Gianluca Caprari,276,Hellas Verona,2919,AC Monza,PERMANENT_OR_OTHER_EXPLICIT,€8.00m,1,IN+OUT
TM-2023-00043,2023/24,146752,Gianluca Caprari,2919,AC Monza,276,Hellas Verona,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2023,1,IN+OUT
TM-2023-00044,2023/24,148252,Remo Freuler,703,Nottingham Forest,1025,Bologna FC 1909,LOAN,loan transfer,0,IN
TM-2023-00045,2023/24,148368,Divock Origi,5,AC Milan,703,Nottingham Forest,LOAN,loan transfer,0,OUT
TM-2023-00046,2023/24,156617,Marcelo Brozović,46,Inter Milan,18544,Al-Nassr FC,PERMANENT_OR_OTHER_EXPLICIT,€15.70m,0,OUT
TM-2023-00047,2023/24,157501,M'Baye Niang,3840,Adana Demirspor,749,FC Empoli,PERMANENT_OR_OTHER_EXPLICIT,€250k,0,IN
TM-2023-00048,2023/24,157507,Adrien Tamèze,276,Hellas Verona,416,Torino FC,PERMANENT_OR_OTHER_EXPLICIT,€2.80m,1,IN+OUT
TM-2023-00049,2023/24,160344,Leonardo Mancuso,1047,Como 1907,2919,AC Monza,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2023,0,IN
TM-2023-00050,2023/24,160344,Leonardo Mancuso,2919,AC Monza,458,Palermo FC,LOAN,loan transfer,0,OUT
TM-2023-00051,2023/24,160357,Mario Sampirisi,2919,AC Monza,5621,AC Reggiana 1919,PERMANENT_OR_OTHER_EXPLICIT,?,0,OUT
TM-2023-00052,2023/24,160357,Mario Sampirisi,8970,Frosinone Calcio,2919,AC Monza,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2023,1,IN+OUT
TM-2023-00053,2023/24,160561,Fabio Lucioni,1005,US Lecce,458,Palermo FC,FREE_TRANSFER,free transfer,0,OUT
TM-2023-00054,2023/24,160561,Fabio Lucioni,8970,Frosinone Calcio,1005,US Lecce,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2023,1,IN+OUT
TM-2023-00055,2023/24,163639,Federico Ceccherini,276,Hellas Verona,6646,Fatih Karagümrük,LOAN,loan transfer,0,OUT
TM-2023-00056,2023/24,166237,Leandro Paredes,506,Juventus FC,583,Paris Saint-Germain,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2023,0,OUT
TM-2023-00057,2023/24,166237,Leandro Paredes,583,Paris Saint-Germain,12,AS Roma,PERMANENT_OR_OTHER_EXPLICIT,€5.65m,0,IN
TM-2023-00058,2023/24,16633,Alex Cordaz,46,Inter Milan,515,Without Club,FREE_AGENT_OR_END_OF_CONTRACT,-,0,OUT
TM-2023-00059,2023/24,167727,Andrea Belotti,12,AS Roma,430,ACF Fiorentina,LOAN,Loan fee: €750k,1,IN+OUT
TM-2023-00060,2023/24,167741,Mattia Valoti,2919,AC Monza,4172,Pisa Sporting Club,LOAN,loan transfer,0,OUT
TM-2023-00061,2023/24,167859,Stefano Sturaro,252,Genoa CFC,6646,Fatih Karagümrük,FREE_TRANSFER,free transfer,0,OUT
TM-2023-00062,2023/24,168157,Leander Dendoncker,405,Aston Villa,6195,SSC Napoli,LOAN,Loan fee: €608k,0,IN
