season,season_start,movement,player_id,player_name,current_club_id,current_club,from_club_id,from_club,to_club_id,to_club,semantic_type,fee_text,source
2023/24,2023,IN,513245,Jesper Lindstrøm,6195,SSC Napoli,24,Eintracht Frankfurt,6195,SSC Napoli,PERMANENT_OR_OTHER_EXPLICIT,€30.00m,TRANSFERMARKT_EXPANDED
2023/24,2023,IN,405885,Giacomo Raspadori,6195,SSC Napoli,6574,US Sassuolo,6195,SSC Napoli,PERMANENT_OR_OTHER_EXPLICIT,€28.00m,TRANSFERMARKT_EXPANDED
2023/24,2023,IN,358032,Cyril Ngonge,6195,SSC Napoli,276,Hellas Verona,6195,SSC Napoli,PERMANENT_OR_OTHER_EXPLICIT,€20.00m,TRANSFERMARKT_EXPANDED
2023/24,2023,IN,282388,Giovanni Simeone,6195,SSC Napoli,276,Hellas Verona,6195,SSC Napoli,PERMANENT_OR_OTHER_EXPLICIT,€12.00m,TRANSFERMARKT_EXPANDED
2023/24,2023,IN,468066,Jens Cajuste,6195,SSC Napoli,1421,Stade Reims,6195,SSC Napoli,PERMANENT_OR_OTHER_EXPLICIT,€11.50m,TRANSFERMARKT_EXPANDED
2023/24,2023,IN,735568,Natan,6195,SSC Napoli,8793,Red Bull Bragantino,6195,SSC Napoli,PERMANENT_OR_OTHER_EXPLICIT,€9.50m,TRANSFERMARKT_EXPANDED
2023/24,2023,IN,521407,Walid Cheddira,6195,SSC Napoli,332,SSC Bari,6195,SSC Napoli,PERMANENT_OR_OTHER_EXPLICIT,€3.00m,TRANSFERMARKT_EXPANDED
2023/24,2023,IN,250153,Pasquale Mazzocchi,6195,SSC Napoli,380,US Salernitana 1919,6195,SSC Napoli,PERMANENT_OR_OTHER_EXPLICIT,€3.00m,TRANSFERMARKT_EXPANDED
2023/24,2023,IN,421873,Elia Caprile,6195,SSC Napoli,332,SSC Bari,6195,SSC Napoli,PERMANENT_OR_OTHER_EXPLICIT,€2.20m,TRANSFERMARKT_EXPANDED
2023/24,2023,IN,168157,Leander Dendoncker,6195,SSC Napoli,405,Aston Villa,6195,SSC Napoli,LOAN,Loan fee: €608k,TRANSFERMARKT_EXPANDED
2023/24,2023,IN,391065,Hamed Traoré,6195,SSC Napoli,989,AFC Bournemouth,6195,SSC Napoli,LOAN,loan transfer,TRANSFERMARKT_EXPANDED
2023/24,2023,IN,704456,Nosa Edward Obaretin,6195,SSC Napoli,12819,Napoli Primavera,6195,SSC Napoli,PERMANENT_OR_OTHER_EXPLICIT,-,TRANSFERMARKT_EXPANDED
2023/24,2023,IN,342341,Leonardo Candellone,6195,SSC Napoli,21331,Pordenone Calcio,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2023,TRANSFERMARKT_EXPANDED
2023/24,2023,IN,250683,Nikita Contini,6195,SSC Napoli,1386,LFA Reggio Calabria,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2023,TRANSFERMARKT_EXPANDED
2023/24,2023,IN,421781,Valerio Labriola,6195,SSC Napoli,4093,Taranto SS,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2023,TRANSFERMARKT_EXPANDED
2023/24,2023,IN,566936,Antonio Cioffi,6195,SSC Napoli,14888,US Città di Pontedera,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2023,TRANSFERMARKT_EXPANDED
2023/24,2023,IN,395190,Francesco Mezzoni,6195,SSC Napoli,1388,Ancona Calcio,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2023,TRANSFERMARKT_EXPANDED
2023/24,2023,IN,662562,Giuseppe D'Agostino,6195,SSC Napoli,5587,SS Juve Stabia,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2023,TRANSFERMARKT_EXPANDED
2023/24,2023,IN,703245,Antonio Vergara,6195,SSC Napoli,26789,FC Pro Vercelli 1892,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2023,TRANSFERMARKT_EXPANDED
