event_id,season,player_id,player_name,from_club_id,from_club,to_club_id,to_club,semantic_type,fee_text,paired_internal_faces,source_faces
TM-2025-00001,2025/26,1002758,Giacomo Maucci,14829,Brescia Primavera,4172,Pisa Sporting Club,FREE_TRANSFER,free transfer,0,IN
TM-2025-00002,2025/26,1002758,Giacomo Maucci,4172,Pisa Sporting Club,5542,CPR Ospitaletto,LOAN,loan transfer,0,OUT
TM-2025-00003,2025/26,1004344,Ali Dembélé,416,Torino FC,2581,Mantova 1911,LOAN,loan transfer,0,OUT
TM-2025-00004,2025/26,1004723,Fellipe Jack,1047,Como 1907,14807,SE Palmeiras São Paulo U20,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2025,0,OUT
TM-2025-00005,2025/26,1004723,Fellipe Jack,1047,Como 1907,3522,Spezia Calcio,LOAN,loan transfer,0,OUT
TM-2025-00006,2025/26,1004723,Fellipe Jack,1047,Como 1907,4097,US Catanzaro,LOAN,loan transfer,0,OUT
TM-2025-00007,2025/26,1004723,Fellipe Jack,14807,SE Palmeiras São Paulo U20,1047,Como 1907,PERMANENT_OR_OTHER_EXPLICIT,€2.00m,0,IN
TM-2025-00008,2025/26,1004723,Fellipe Jack,3522,Spezia Calcio,1047,Como 1907,LOAN_RETURN_OR_END_OF_LOAN,End of loan 02/02/2026,0,IN
TM-2025-00009,2025/26,1005165,Giovane,199,Sport Club Corinthians Paulista,276,Hellas Verona,FREE_TRANSFER,free transfer,0,IN
TM-2025-00010,2025/26,1005165,Giovane,276,Hellas Verona,6195,SSC Napoli,PERMANENT_OR_OTHER_EXPLICIT,€2.00m,1,IN+OUT
TM-2025-00011,2025/26,1009030,Lorran,614,CR Flamengo,4172,Pisa Sporting Club,LOAN,Loan fee: €500k,0,IN
TM-2025-00012,2025/26,1009633,David Pejičić,410,Udinese Calcio,790,NK Maribor,LOAN,loan transfer,0,OUT
TM-2025-00013,2025/26,101213,Pedro Obiang,6574,US Sassuolo,2919,AC Monza,FREE_TRANSFER,free transfer,0,OUT
TM-2025-00014,2025/26,1012731,Luis Balbo,8505,Fiorentina Primavera,430,ACF Fiorentina,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2025-00015,2025/26,1014243,Vivaldo Semedo,410,Udinese Calcio,1010,Watford FC,PERMANENT_OR_OTHER_EXPLICIT,?,0,OUT
TM-2025-00016,2025/26,1014243,Vivaldo Semedo,6912,FC Vizela,410,Udinese Calcio,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2025,0,IN
TM-2025-00017,2025/26,1015822,Eman Košpo,2470,FC Barcelona U19,430,ACF Fiorentina,PERMANENT_OR_OTHER_EXPLICIT,€285k,0,IN
TM-2025-00018,2025/26,1017950,Vernon Addo,1005,US Lecce,57870,Krasava ENY,LOAN,Loan fee: €75k,0,OUT
TM-2025-00019,2025/26,1018259,Gift Orban,533,TSG 1899 Hoffenheim,276,Hellas Verona,LOAN,Loan fee: €500k,0,IN
TM-2025-00020,2025/26,1018395,Adrian Przyborek,324,Pogon Szczecin,398,SS Lazio,PERMANENT_OR_OTHER_EXPLICIT,€4.50m,0,IN
TM-2025-00021,2025/26,1026255,Saná Fernandes,132,NAC Breda,398,SS Lazio,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2025,0,IN
TM-2025-00022,2025/26,1026255,Saná Fernandes,398,SS Lazio,12816,Lazio U20,PERMANENT_OR_OTHER_EXPLICIT,-,0,OUT
TM-2025-00023,2025/26,1028162,Antoine Joujou,130,Parma Calcio 1913,3329,FC Famalicão,LOAN,loan transfer,0,OUT
TM-2025-00024,2025/26,1028162,Antoine Joujou,738,Le Havre AC,130,Parma Calcio 1913,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2025,0,IN
TM-2025-00025,2025/26,1028399,Borna Knezovic,380,US Salernitana 1919,6574,US Sassuolo,LOAN_RETURN_OR_END_OF_LOAN,End of loan 01/02/2026,0,IN
TM-2025-00026,2025/26,1028399,Borna Knezovic,6574,US Sassuolo,4331,FC Trapani 1905,LOAN,loan transfer,0,OUT
TM-2025-00027,2025/26,1041614,Renato Marin,12,AS Roma,583,Paris Saint-Germain,FREE_TRANSFER,free transfer,0,OUT
TM-2025-00028,2025/26,1043646,Christian Ordóñez,1029,CA Vélez Sarsfield,130,Parma Calcio 1913,PERMANENT_OR_OTHER_EXPLICIT,€9.75m,0,IN
TM-2025-00029,2025/26,1044794,Alessandro Debenedetti,252,Genoa CFC,20519,Virtus Entella,LOAN,loan transfer,0,OUT
TM-2025-00030,2025/26,1044794,Alessandro Debenedetti,2581,Mantova 1911,252,Genoa CFC,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2025,0,IN
TM-2025-00031,2025/26,1046867,Jan Ziolkowski,255,Legia Warszawa,12,AS Roma,PERMANENT_OR_OTHER_EXPLICIT,€6.60m,0,IN
TM-2025-00032,2025/26,1053566,Mert Durmush,1103,Ternana Calcio,4172,Pisa Sporting Club,LOAN_RETURN_OR_END_OF_LOAN,End of loan 28/01/2026,0,IN
TM-2025-00033,2025/26,1053566,Mert Durmush,26883,USD Sestri Levante 1919,4172,Pisa Sporting Club,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2025,0,IN
TM-2025-00034,2025/26,1053566,Mert Durmush,4172,Pisa Sporting Club,1103,Ternana Calcio,LOAN,loan transfer,0,OUT
TM-2025-00035,2025/26,1053566,Mert Durmush,4172,Pisa Sporting Club,7030,Vis Pesaro 1898,LOAN,loan transfer,0,OUT
TM-2025-00036,2025/26,105521,Ciro Immobile,1025,Bologna FC 1909,10004,Paris FC,FREE_TRANSFER,free transfer,0,OUT
TM-2025-00037,2025/26,105521,Ciro Immobile,114,Besiktas JK,1025,Bologna FC 1909,FREE_TRANSFER,free transfer,0,IN
TM-2025-00038,2025/26,1057563,Christ-Owen Kouassi,1005,US Lecce,1080,Stade Lavallois,LOAN,loan transfer,0,OUT
TM-2025-00039,2025/26,1057563,Christ-Owen Kouassi,1080,Stade Lavallois,1005,US Lecce,PERMANENT_OR_OTHER_EXPLICIT,€1.00m,0,IN
TM-2025-00040,2025/26,1058354,Matteo Palma,410,Udinese Calcio,1038,UC Sampdoria,LOAN,loan transfer,0,OUT
