event_id,season,player_id,player_name,from_club_id,from_club,to_club_id,to_club,semantic_type,fee_text,paired_internal_faces,source_faces
TM-2024-00001,2024/25,1004344,Ali Dembélé,607,Venezia FC,416,Torino FC,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2024,1,IN+OUT
TM-2024-00002,2024/25,1004723,Fellipe Jack,14694,Como Primavera,1047,Como 1907,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2024-00003,2024/25,1012421,Matija Popović,2919,AC Monza,12819,Napoli Primavera,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2024,0,OUT
TM-2024-00004,2024/25,1014243,Vivaldo Semedo,410,Udinese Calcio,6912,FC Vizela,LOAN,loan transfer,0,OUT
TM-2024-00005,2024/25,1014243,Vivaldo Semedo,724,FC Volendam,410,Udinese Calcio,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2024,0,IN
TM-2024-00006,2024/25,1017950,Vernon Addo,5618,Lecce Primavera,1005,US Lecce,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2024-00007,2024/25,1026255,Saná Fernandes,398,SS Lazio,132,NAC Breda,LOAN,loan transfer,0,OUT
TM-2024-00008,2024/25,1028162,Antoine Joujou,130,Parma Calcio 1913,738,Le Havre AC,LOAN,loan transfer,0,OUT
TM-2024-00009,2024/25,1028162,Antoine Joujou,738,Le Havre AC,130,Parma Calcio 1913,PERMANENT_OR_OTHER_EXPLICIT,€2.70m,0,IN
TM-2024-00010,2024/25,103427,Chris Smalling,12,AS Roma,50531,Al-Fayha FC,PERMANENT_OR_OTHER_EXPLICIT,€800k,0,OUT
TM-2024-00011,2024/25,1041614,Renato Marin,11997,Roma U20,12,AS Roma,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2024-00012,2024/25,1044795,Lorenzo Da Pozzo,607,Venezia FC,34499,US Pianese,LOAN,loan transfer,0,OUT
TM-2024-00013,2024/25,1044795,Lorenzo Da Pozzo,7030,Vis Pesaro 1898,607,Venezia FC,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2024,0,IN
TM-2024-00014,2024/25,105521,Ciro Immobile,398,SS Lazio,114,Besiktas JK,PERMANENT_OR_OTHER_EXPLICIT,€2.00m,0,OUT
TM-2024-00015,2024/25,1058354,Matteo Palma,10959,Udinese Primavera,410,Udinese Calcio,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2024-00016,2024/25,1059298,Côme Bianay Balcot,12130,Torino Primavera,416,Torino FC,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2024-00017,2024/25,1059298,Côme Bianay Balcot,416,Torino FC,4271,US Triestina,LOAN,loan transfer,0,OUT
TM-2024-00018,2024/25,1061282,Assane Diao,150,Real Betis Balompié,1047,Como 1907,PERMANENT_OR_OTHER_EXPLICIT,€12.00m,0,IN
TM-2024-00019,2024/25,1061820,Lorenzo Venturino,8517,Genoa U20,252,Genoa CFC,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2024-00020,2024/25,1077175,Honest Ahanor,8517,Genoa U20,252,Genoa CFC,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2024-00021,2024/25,1082519,Charlys,15555,EC Vitória U20,276,Hellas Verona,PERMANENT_OR_OTHER_EXPLICIT,€120k,0,IN
TM-2024-00022,2024/25,1082519,Charlys,276,Hellas Verona,15555,EC Vitória U20,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2024,0,OUT
TM-2024-00023,2024/25,1082519,Charlys,276,Hellas Verona,4031,Cosenza Calcio,LOAN,loan transfer,0,OUT
TM-2024-00024,2024/25,1083164,Lior Kassa,1064,Maccabi Haifa,252,Genoa CFC,LOAN,Loan fee: €60k,0,IN
TM-2024-00025,2024/25,1086619,Giovanni Leoni,1038,UC Sampdoria,130,Parma Calcio 1913,PERMANENT_OR_OTHER_EXPLICIT,€7.70m,0,IN
TM-2024-00026,2024/25,1110645,Filipe Bordon,97141,Ferroviária U20,398,SS Lazio,PERMANENT_OR_OTHER_EXPLICIT,€300k,0,IN
TM-2024-00027,2024/25,1111820,Junior Ajayi,19114,Sassuolo Primavera,276,Hellas Verona,PERMANENT_OR_OTHER_EXPLICIT,€150k,0,IN
TM-2024-00028,2024/25,1112449,Tiago Gabriel,2431,CF Estrela Amadora,1005,US Lecce,PERMANENT_OR_OTHER_EXPLICIT,€1.25m,0,IN
TM-2024-00029,2024/25,111347,Lorenzo Tonelli,749,FC Empoli,,Retired,RETIREMENT,-,0,OUT
TM-2024-00030,2024/25,111426,Benjamin Siegrist,455,FC Rapid 1923,252,Genoa CFC,LOAN,Loan fee: €73k,0,IN
TM-2024-00031,2024/25,1118086,Sebastian Esposito,5618,Lecce Primavera,1005,US Lecce,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2024-00032,2024/25,112302,Roberto Pereyra,410,Udinese Calcio,2441,AEK Athens,FREE_TRANSFER,free transfer,0,OUT
TM-2024-00033,2024/25,1144700,Matías Moreno,2417,Club Atlético Belgrano,430,ACF Fiorentina,PERMANENT_OR_OTHER_EXPLICIT,€5.00m,0,IN
TM-2024-00034,2024/25,115763,Koray Günter,276,Hellas Verona,1467,Göztepe,LOAN,loan transfer,0,OUT
TM-2024-00035,2024/25,115763,Koray Günter,6646,Fatih Karagümrük,276,Hellas Verona,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2024,0,IN
TM-2024-00036,2024/25,118689,Leonardo Spinazzola,12,AS Roma,6195,SSC Napoli,FREE_TRANSFER,free transfer,1,IN+OUT
TM-2024-00037,2024/25,122153,Paul Pogba,506,Juventus FC,515,Without Club,FREE_AGENT_OR_END_OF_CONTRACT,-,0,OUT
TM-2024-00038,2024/25,124555,Cristiano Biraghi,430,ACF Fiorentina,416,Torino FC,LOAN,loan transfer,1,IN+OUT
TM-2024-00039,2024/25,125020,José Luis Palomino,800,Atalanta BC,1390,Cagliari Calcio,FREE_TRANSFER,free transfer,1,IN+OUT
TM-2024-00040,2024/25,126673,Adama Soumaoro,1025,Bologna FC 1909,515,Without Club,FREE_AGENT_OR_END_OF_CONTRACT,-,0,OUT
TM-2024-00041,2024/25,128220,Luis Alberto,398,SS Lazio,26091,Al-Duhail SC,PERMANENT_OR_OTHER_EXPLICIT,€10.30m,0,OUT
TM-2024-00042,2024/25,128223,Álvaro Morata,13,Atlético de Madrid,5,AC Milan,PERMANENT_OR_OTHER_EXPLICIT,€17.20m,0,IN
TM-2024-00043,2024/25,128223,Álvaro Morata,5,AC Milan,141,Galatasaray,LOAN,Loan fee: €6.00m,0,OUT
TM-2024-00044,2024/25,128969,Mathew Ryan,1090,AZ Alkmaar,12,AS Roma,FREE_TRANSFER,free transfer,0,IN
TM-2024-00045,2024/25,128969,Mathew Ryan,12,AS Roma,826,RC Lens,PERMANENT_OR_OTHER_EXPLICIT,€750k,0,OUT
TM-2024-00046,2024/25,12907,Alessio Cragno,2919,AC Monza,1038,UC Sampdoria,PERMANENT_OR_OTHER_EXPLICIT,?,0,OUT
TM-2024-00047,2024/25,12907,Alessio Cragno,6574,US Sassuolo,2919,AC Monza,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2024,0,IN
TM-2024-00048,2024/25,129476,Gerard Deulofeu,410,Udinese Calcio,515,Without Club,FREE_AGENT_OR_END_OF_CONTRACT,-,0,OUT
TM-2024-00049,2024/25,130360,Simone Verdi,1047,Como 1907,6574,US Sassuolo,LOAN,loan transfer,0,OUT
TM-2024-00050,2024/25,130394,Gianluca Lapadula,1390,Cagliari Calcio,3522,Spezia Calcio,PERMANENT_OR_OTHER_EXPLICIT,€300k,0,OUT
TM-2024-00051,2024/25,131951,Kevin Lasagna,276,Hellas Verona,332,SSC Bari,LOAN,loan transfer,0,OUT
TM-2024-00052,2024/25,131951,Kevin Lasagna,6646,Fatih Karagümrük,276,Hellas Verona,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2024,0,IN
TM-2024-00053,2024/25,134883,Daniele Baselli,1047,Como 1907,515,Without Club,FREE_AGENT_OR_END_OF_CONTRACT,-,0,OUT
TM-2024-00054,2024/25,136135,Matteo Solini,1047,Como 1907,2581,Mantova 1911,PERMANENT_OR_OTHER_EXPLICIT,€50k,0,OUT
TM-2024-00055,2024/25,144143,Bartosz Bereszyński,749,FC Empoli,1038,UC Sampdoria,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2024,0,OUT
TM-2024-00056,2024/25,144244,Pantelis Hatzidiakos,1390,Cagliari Calcio,190,FC Copenhagen,LOAN,loan transfer,0,OUT
TM-2024-00057,2024/25,145707,Danilo,506,Juventus FC,614,CR Flamengo,FREE_TRANSFER,free transfer,0,OUT
