event_id,season,player_id,player_name,from_club_id,from_club,to_club_id,to_club,semantic_type,fee_text,paired_internal_faces,source_faces
TM-2022-01063,2022/23,562287,Christian Celesia,19164,Paganese Calcio 1926,416,Torino FC,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
TM-2022-01064,2022/23,562287,Christian Celesia,416,Torino FC,1104,ACR Messina,LOAN,loan transfer,0,OUT
TM-2022-01065,2022/23,562287,Christian Celesia,416,Torino FC,7197,Potenza Calcio,LOAN,loan transfer,0,OUT
TM-2022-01066,2022/23,562287,Christian Celesia,7197,Potenza Calcio,416,Torino FC,LOAN_RETURN_OR_END_OF_LOAN,End of loan 25/01/2023,0,IN
TM-2022-01067,2022/23,56416,Dries Mertens,6195,SSC Napoli,141,Galatasaray,FREE_TRANSFER,free transfer,0,OUT
TM-2022-01068,2022/23,564305,Michel Adopo,22294,US Viterbese 1908,416,Torino FC,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
TM-2022-01069,2022/23,564785,Kristian Thorstvedt,1184,KRC Genk,6574,US Sassuolo,PERMANENT_OR_OTHER_EXPLICIT,€10.15m,0,IN
TM-2022-01070,2022/23,564793,Michael Brentan,1038,UC Sampdoria,4541,UC AlbinoLeffe,PERMANENT_OR_OTHER_EXPLICIT,?,0,OUT
TM-2022-01071,2022/23,564793,Michael Brentan,2254,Pro Sesto 1913,1038,UC Sampdoria,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
TM-2022-01072,2022/23,565041,Alessandro Lovisa,21331,Pordenone Calcio,430,ACF Fiorentina,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
TM-2022-01073,2022/23,565041,Alessandro Lovisa,430,ACF Fiorentina,4271,US Triestina,FREE_TRANSFER,free transfer,0,OUT
TM-2022-01074,2022/23,565162,Giacomo Fedel,26237,Molfetta Calcio,410,Udinese Calcio,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
