season,season_start,movement,player_id,player_name,current_club_id,current_club,from_club_id,from_club,to_club_id,to_club,semantic_type,fee_text,source
2024/25,2024,IN,394300,Davide Frattesi,46,Inter Milan,6574,US Sassuolo,46,Inter Milan,PERMANENT_OR_OTHER_EXPLICIT,€26.40m,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,585982,Carlos Augusto,46,Inter Milan,2919,AC Monza,46,Inter Milan,PERMANENT_OR_OTHER_EXPLICIT,€15.25m,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,388516,Josep Martínez,46,Inter Milan,252,Genoa CFC,46,Inter Milan,PERMANENT_OR_OTHER_EXPLICIT,€14.00m,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,41384,Marko Arnautovic,46,Inter Milan,1025,Bologna FC 1909,46,Inter Milan,PERMANENT_OR_OTHER_EXPLICIT,€10.90m,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,993645,Tomás Palacios,46,Inter Milan,12179,CS Independiente Rivadavia,46,Inter Milan,PERMANENT_OR_OTHER_EXPLICIT,€6.40m,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,550108,Nicola Zalewski,46,Inter Milan,12,AS Roma,46,Inter Milan,LOAN,Loan fee: €600k,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,787618,Valentín Carboni,46,Inter Milan,2919,AC Monza,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2024 €250k,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,307058,Mehdi Taremi,46,Inter Milan,720,FC Porto,46,Inter Milan,FREE_TRANSFER,free transfer,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,181136,Piotr Zielinski,46,Inter Milan,6195,SSC Napoli,46,Inter Milan,FREE_TRANSFER,free transfer,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,780136,Aleksandar Stanković,46,Inter Milan,5380,Inter Milan Primavera,46,Inter Milan,PERMANENT_OR_OTHER_EXPLICIT,-,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,969192,Ebenezer Akinsanmiro,46,Inter Milan,5380,Inter Milan Primavera,46,Inter Milan,PERMANENT_OR_OTHER_EXPLICIT,-,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,819036,Dennis Curatolo,46,Inter Milan,5380,Inter Milan Primavera,46,Inter Milan,PERMANENT_OR_OTHER_EXPLICIT,-,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,885623,Issiaka Kamate,46,Inter Milan,5380,Inter Milan Primavera,46,Inter Milan,PERMANENT_OR_OTHER_EXPLICIT,-,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,731491,Franco Carboni,46,Inter Milan,2919,AC Monza,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 08/01/2024,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,582353,Mattia Zanotti,46,Inter Milan,257,FC St. Gallen 1879,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2024,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,338672,Zinho Vanheusden,46,Inter Milan,3057,Standard Liège,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2024,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,640109,Martín Satriano,46,Inter Milan,3911,Stade Brestois 29,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2024,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,539631,Andrea Moretti,46,Inter Milan,4146,Aurora Pro Patria,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2024,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,613393,Gaetano Oristanio,46,Inter Milan,1390,Cagliari Calcio,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2024,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,704337,William Rovida,46,Inter Milan,4146,Aurora Pro Patria,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2024,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,641556,Francesco Nunziatini,46,Inter Milan,2253,SEF Torres 1903,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2024,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,303657,Ionuț Radu,46,Inter Milan,989,AFC Bournemouth,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2024,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,535793,Jacopo Gianelli,46,Inter Milan,4033,Fermana FC,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2024,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,727495,Nikola Iliev,46,Inter Milan,61955,CSKA 1948,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2024,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,616162,Alessandro Fontanarosa,46,Inter Milan,5621,AC Reggiana 1919,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 02/02/2025,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,616162,Alessandro Fontanarosa,46,Inter Milan,4031,Cosenza Calcio,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2024,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,731491,Franco Carboni,46,Inter Milan,209,CA River Plate,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 23/08/2024,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,552223,Filip Stanković,46,Inter Milan,1038,UC Sampdoria,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2024,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,885623,Issiaka Kamate,46,Inter Milan,110302,Avs Futebol,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 29/01/2025,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,538918,Sebastiano Esposito,46,Inter Milan,1038,UC Sampdoria,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2024,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,227081,Joaquín Correa,46,Inter Milan,244,Olympique Marseille,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2024,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,787618,Valentín Carboni,46,Inter Milan,244,Olympique Marseille,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 11/02/2025,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,731491,Franco Carboni,46,Inter Milan,1103,Ternana Calcio,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2024,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,569384,Lucien Agoumé,46,Inter Milan,368,Sevilla FC,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2024,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,459661,Eddie Salcedo,46,Inter Milan,5514,Calcio Lecco 1912,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2024,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,692351,Alessandro Silvestro,46,Inter Milan,704,Calcio Foggia 1920,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2024,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,569384,Lucien Agoumé,46,Inter Milan,46,Inter Milan,368,Sevilla FC,PERMANENT_OR_OTHER_EXPLICIT,€8.00m,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,613393,Gaetano Oristanio,46,Inter Milan,46,Inter Milan,607,Venezia FC,PERMANENT_OR_OTHER_EXPLICIT,€4.00m,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,582353,Mattia Zanotti,46,Inter Milan,46,Inter Milan,2790,FC Lugano,PERMANENT_OR_OTHER_EXPLICIT,€1.90m,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,780136,Aleksandar Stanković,46,Inter Milan,46,Inter Milan,434,FC Luzern,LOAN,Loan fee: €1.60m,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,638793,Tajon Buchanan,46,Inter Milan,46,Inter Milan,1050,Villarreal CF,LOAN,Loan fee: €1.00m,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,640109,Martín Satriano,46,Inter Milan,46,Inter Milan,826,RC Lens,LOAN,Loan fee: €1.00m,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,787618,Valentín Carboni,46,Inter Milan,46,Inter Milan,244,Olympique Marseille,LOAN,Loan fee: €1.00m,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,731491,Franco Carboni,46,Inter Milan,46,Inter Milan,209,CA River Plate,LOAN,Loan fee: €500k,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,727495,Nikola Iliev,46,Inter Milan,46,Inter Milan,2531,Botev Plovdiv,PERMANENT_OR_OTHER_EXPLICIT,€240k,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,969192,Ebenezer Akinsanmiro,46,Inter Milan,46,Inter Milan,1038,UC Sampdoria,LOAN,Loan fee: €190k,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,40433,Alexis Sánchez,46,Inter Milan,46,Inter Milan,410,Udinese Calcio,FREE_TRANSFER,free transfer,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,303657,Ionuț Radu,46,Inter Milan,46,Inter Milan,607,Venezia FC,FREE_TRANSFER,free transfer,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,641556,Francesco Nunziatini,46,Inter Milan,46,Inter Milan,2253,SEF Torres 1903,FREE_TRANSFER,free transfer,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,535793,Jacopo Gianelli,46,Inter Milan,46,Inter Milan,1388,Ancona Calcio,FREE_TRANSFER,free transfer,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,216179,Stefano Sensi,46,Inter Milan,46,Inter Milan,2919,AC Monza,FREE_TRANSFER,free transfer,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,91970,Juan Cuadrado,46,Inter Milan,46,Inter Milan,800,Atalanta BC,FREE_TRANSFER,free transfer,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,616162,Alessandro Fontanarosa,46,Inter Milan,46,Inter Milan,5621,AC Reggiana 1919,LOAN,loan transfer,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,616162,Alessandro Fontanarosa,46,Inter Milan,46,Inter Milan,4159,Carrarese Calcio 1908,LOAN,loan transfer,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,993645,Tomás Palacios,46,Inter Milan,46,Inter Milan,2919,AC Monza,LOAN,loan transfer,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,459661,Eddie Salcedo,46,Inter Milan,46,Inter Milan,653,OFI Crete,LOAN,loan transfer,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,338672,Zinho Vanheusden,46,Inter Milan,46,Inter Milan,354,KV Mechelen,LOAN,loan transfer,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,704337,William Rovida,46,Inter Milan,46,Inter Milan,4146,Aurora Pro Patria,PERMANENT_OR_OTHER_EXPLICIT,?,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,539631,Andrea Moretti,46,Inter Milan,46,Inter Milan,4271,US Triestina,PERMANENT_OR_OTHER_EXPLICIT,?,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,819036,Dennis Curatolo,46,Inter Milan,46,Inter Milan,4146,Aurora Pro Patria,PERMANENT_OR_OTHER_EXPLICIT,?,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,692351,Alessandro Silvestro,46,Inter Milan,46,Inter Milan,704,Calcio Foggia 1920,PERMANENT_OR_OTHER_EXPLICIT,?,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,552223,Filip Stanković,46,Inter Milan,46,Inter Milan,607,Venezia FC,LOAN,loan transfer,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,885623,Issiaka Kamate,46,Inter Milan,46,Inter Milan,110302,Avs Futebol,LOAN,loan transfer,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,731491,Franco Carboni,46,Inter Milan,46,Inter Milan,607,Venezia FC,LOAN,loan transfer,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,885623,Issiaka Kamate,46,Inter Milan,46,Inter Milan,1385,Modena FC,LOAN,loan transfer,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,538918,Sebastiano Esposito,46,Inter Milan,46,Inter Milan,749,FC Empoli,LOAN,loan transfer,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,182932,Davy Klaassen,46,Inter Milan,46,Inter Milan,515,Without Club,FREE_AGENT_OR_END_OF_CONTRACT,-,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,394300,Davide Frattesi,46,Inter Milan,46,Inter Milan,6574,US Sassuolo,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2024,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,256339,Emil Audero,46,Inter Milan,46,Inter Milan,1038,UC Sampdoria,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2024,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,585982,Carlos Augusto,46,Inter Milan,46,Inter Milan,2919,AC Monza,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2024,TRANSFERMARKT_EXPANDED
2024/25,2024,OUT,41384,Marko Arnautovic,46,Inter Milan,46,Inter Milan,1025,Bologna FC 1909,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2024,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,552955,Santiago Gimenez,5,AC Milan,234,Feyenoord Rotterdam,5,AC Milan,PERMANENT_OR_OTHER_EXPLICIT,€30.20m,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,569598,Youssouf Fofana,5,AC Milan,162,AS Monaco,5,AC Milan,PERMANENT_OR_OTHER_EXPLICIT,€26.00m,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,574671,Strahinja Pavlović,5,AC Milan,409,Red Bull Salzburg,5,AC Milan,PERMANENT_OR_OTHER_EXPLICIT,€18.50m,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,128223,Álvaro Morata,5,AC Milan,13,Atlético de Madrid,5,AC Milan,PERMANENT_OR_OTHER_EXPLICIT,€17.20m,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,476344,Emerson Royal,5,AC Milan,148,Tottenham Hotspur,5,AC Milan,PERMANENT_OR_OTHER_EXPLICIT,€16.00m,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,741257,Álex Jiménez,5,AC Milan,28870,Real Madrid U19,5,AC Milan,PERMANENT_OR_OTHER_EXPLICIT,€14.75m,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,659516,Warren Bondo,5,AC Milan,2919,AC Monza,5,AC Milan,PERMANENT_OR_OTHER_EXPLICIT,€10.50m,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,462250,João Félix,5,AC Milan,631,Chelsea FC,5,AC Milan,LOAN,Loan fee: €2.90m,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,331726,Tammy Abraham,5,AC Milan,12,AS Roma,5,AC Milan,LOAN,Loan fee: €1.50m,TRANSFERMARKT_EXPANDED
2024/25,2024,IN,386455,Riccardo Sottil,5,AC Milan,430,ACF Fiorentina,5,AC Milan,LOAN,Loan fee: €750k,TRANSFERMARKT_EXPANDED
