season,season_start,movement,player_id,player_name,current_club_id,current_club,from_club_id,from_club,to_club_id,to_club,semantic_type,fee_text,source
2025/26,2025,IN,433984,Sam Beukema,6195,SSC Napoli,1025,Bologna FC 1909,6195,SSC Napoli,PERMANENT_OR_OTHER_EXPLICIT,€31.00m,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,572265,Lorenzo Lucca,6195,SSC Napoli,410,Udinese Calcio,6195,SSC Napoli,PERMANENT_OR_OTHER_EXPLICIT,€26.00m,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,339332,Noa Lang,6195,SSC Napoli,383,PSV Eindhoven,6195,SSC Napoli,PERMANENT_OR_OTHER_EXPLICIT,€25.00m,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,525299,Miguel Gutiérrez,6195,SSC Napoli,12321,Girona FC,6195,SSC Napoli,PERMANENT_OR_OTHER_EXPLICIT,€20.00m,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,257474,Vanja Milinković-Savić,6195,SSC Napoli,416,Torino FC,6195,SSC Napoli,LOAN,Loan fee: €15.00m,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,814446,Luca Marianucci,6195,SSC Napoli,749,FC Empoli,6195,SSC Napoli,PERMANENT_OR_OTHER_EXPLICIT,€9.90m,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,572265,Lorenzo Lucca,6195,SSC Napoli,410,Udinese Calcio,6195,SSC Napoli,LOAN,Loan fee: €9.00m,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,610442,Rasmus Højlund,6195,SSC Napoli,985,Manchester United,6195,SSC Napoli,LOAN,Loan fee: €6.00m,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,830365,Alisson Santos,6195,SSC Napoli,336,Sporting CP,6195,SSC Napoli,LOAN,Loan fee: €3.50m,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,1005165,Giovane,6195,SSC Napoli,276,Hellas Verona,6195,SSC Napoli,PERMANENT_OR_OTHER_EXPLICIT,€2.00m,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,400489,Eljif Elmas,6195,SSC Napoli,23826,RB Leipzig,6195,SSC Napoli,LOAN,Loan fee: €2.00m,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,1195798,Mathias Ferrante,6195,SSC Napoli,55434,SSD NovaRomentin,6195,SSC Napoli,PERMANENT_OR_OTHER_EXPLICIT,€100k,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,936229,Emanuele Rao,6195,SSC Napoli,2722,SPAL,6195,SSC Napoli,FREE_TRANSFER,free transfer,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,88755,Kevin De Bruyne,6195,SSC Napoli,281,Manchester City,6195,SSC Napoli,FREE_TRANSFER,free transfer,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,820633,Coli Saco,6195,SSC Napoli,332,SSC Bari,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2025,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,703245,Antonio Vergara,6195,SSC Napoli,5621,AC Reggiana 1919,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2025,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,395190,Francesco Mezzoni,6195,SSC Napoli,839,AC Perugia Calcio,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2025,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,820633,Coli Saco,6195,SSC Napoli,322,Yverdon Sport FC,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 25/01/2026,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,358008,Gianluca Gaetano,6195,SSC Napoli,1390,Cagliari Calcio,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2025,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,521407,Walid Cheddira,6195,SSC Napoli,714,RCD Espanyol Barcelona,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2025,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,468066,Jens Cajuste,6195,SSC Napoli,677,Ipswich Town,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2025,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,735568,Natan,6195,SSC Napoli,150,Real Betis Balompié,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2025,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,818581,Matteo Marchisano,6195,SSC Napoli,6266,Cavese 1919,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2025,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,513245,Jesper Lindstrøm,6195,SSC Napoli,29,Everton FC,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2025,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,930623,Gianluca Vigliotti,6195,SSC Napoli,6266,Cavese 1919,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2025,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,707295,Giuseppe Ambrosino,6195,SSC Napoli,8970,Frosinone Calcio,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2025,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,566936,Antonio Cioffi,6195,SSC Napoli,4111,Rimini FC,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2025,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,662562,Giuseppe D'Agostino,6195,SSC Napoli,9818,Giugliano Calcio 1928,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2025,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,397225,Alessandro Zanoli,6195,SSC Napoli,252,Genoa CFC,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2025,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,704456,Nosa Edward Obaretin,6195,SSC Napoli,332,SSC Bari,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2025,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,358032,Cyril Ngonge,6195,SSC Napoli,416,Torino FC,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/01/2026,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,521407,Walid Cheddira,6195,SSC Napoli,6574,US Sassuolo,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 21/01/2026,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,885235,Luigi D'Avino,6195,SSC Napoli,4326,AS Gubbio 1910,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2025,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,703240,Gennaro Iaccarino,6195,SSC Napoli,4326,AS Gubbio 1910,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2025,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,401923,Victor Osimhen,6195,SSC Napoli,141,Galatasaray,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2025,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,421873,Elia Caprile,6195,SSC Napoli,1390,Cagliari Calcio,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2025,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,535797,Lorenzo Sgarbi,6195,SSC Napoli,5587,SS Juve Stabia,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2025,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,377042,Michael Folorunsho,6195,SSC Napoli,430,ACF Fiorentina,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2025,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,566936,Antonio Cioffi,6195,SSC Napoli,1210,US Livorno 1915,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 22/01/2026,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,535797,Lorenzo Sgarbi,6195,SSC Napoli,2921,Delfino Pescara 1936,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 01/02/2026,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,433584,Alessio Zerbin,6195,SSC Napoli,607,Venezia FC,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2025,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,814459,Alessandro Spavone,6195,SSC Napoli,45894,Guidonia Montecelio 1937 FC,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2025,TRANSFERMARKT_EXPANDED
2025/26,2025,IN,815546,Francesco Gioielli,6195,SSC Napoli,22124,Asd Puteolana 1902,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2025,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,401923,Victor Osimhen,6195,SSC Napoli,6195,SSC Napoli,141,Galatasaray,PERMANENT_OR_OTHER_EXPLICIT,€75.00m,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,405885,Giacomo Raspadori,6195,SSC Napoli,6195,SSC Napoli,13,Atlético de Madrid,PERMANENT_OR_OTHER_EXPLICIT,€22.00m,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,735568,Natan,6195,SSC Napoli,6195,SSC Napoli,150,Real Betis Balompié,PERMANENT_OR_OTHER_EXPLICIT,€9.00m,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,421873,Elia Caprile,6195,SSC Napoli,6195,SSC Napoli,1390,Cagliari Calcio,PERMANENT_OR_OTHER_EXPLICIT,€8.20m,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,358008,Gianluca Gaetano,6195,SSC Napoli,6195,SSC Napoli,1390,Cagliari Calcio,PERMANENT_OR_OTHER_EXPLICIT,€6.20m,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,339332,Noa Lang,6195,SSC Napoli,6195,SSC Napoli,141,Galatasaray,LOAN,Loan fee: €2.00m,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,572265,Lorenzo Lucca,6195,SSC Napoli,6195,SSC Napoli,703,Nottingham Forest,LOAN,Loan fee: €2.00m,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,513245,Jesper Lindstrøm,6195,SSC Napoli,6195,SSC Napoli,82,VfL Wolfsburg,LOAN,Loan fee: €1.50m,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,282388,Giovanni Simeone,6195,SSC Napoli,6195,SSC Napoli,416,Torino FC,LOAN,Loan fee: €1.35m,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,468066,Jens Cajuste,6195,SSC Napoli,6195,SSC Napoli,677,Ipswich Town,LOAN,Loan fee: €1.20m,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,358032,Cyril Ngonge,6195,SSC Napoli,6195,SSC Napoli,714,RCD Espanyol Barcelona,LOAN,Loan fee: €1.00m,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,662261,Rafa Marín,6195,SSC Napoli,6195,SSC Napoli,1050,Villarreal CF,LOAN,Loan fee: €1.00m,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,358032,Cyril Ngonge,6195,SSC Napoli,6195,SSC Napoli,416,Torino FC,LOAN,Loan fee: €500k,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,377042,Michael Folorunsho,6195,SSC Napoli,6195,SSC Napoli,1390,Cagliari Calcio,LOAN,Loan fee: €500k,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,814446,Luca Marianucci,6195,SSC Napoli,6195,SSC Napoli,416,Torino FC,LOAN,Loan fee: €250k,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,433584,Alessio Zerbin,6195,SSC Napoli,6195,SSC Napoli,2239,US Cremonese,LOAN,Loan fee: €250k,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,521407,Walid Cheddira,6195,SSC Napoli,6195,SSC Napoli,6574,US Sassuolo,LOAN,Loan fee: €200k,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,662562,Giuseppe D'Agostino,6195,SSC Napoli,6195,SSC Napoli,9818,Giugliano Calcio 1928,FREE_TRANSFER,free transfer,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,814459,Alessandro Spavone,6195,SSC Napoli,6195,SSC Napoli,45894,Guidonia Montecelio 1937 FC,FREE_TRANSFER,free transfer,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,818581,Matteo Marchisano,6195,SSC Napoli,6195,SSC Napoli,2331,US Avellino 1912,FREE_TRANSFER,free transfer,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,395190,Francesco Mezzoni,6195,SSC Napoli,6195,SSC Napoli,20519,Virtus Entella,FREE_TRANSFER,free transfer,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,815546,Francesco Gioielli,6195,SSC Napoli,6195,SSC Napoli,56271,AC Afragolese 1944,FREE_TRANSFER,free transfer,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,566936,Antonio Cioffi,6195,SSC Napoli,6195,SSC Napoli,1210,US Livorno 1915,LOAN,loan transfer,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,703240,Gennaro Iaccarino,6195,SSC Napoli,6195,SSC Napoli,4255,SS Arezzo,LOAN,loan transfer,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,724178,Luis Hasa,6195,SSC Napoli,6195,SSC Napoli,4159,Carrarese Calcio 1908,LOAN,loan transfer,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,724099,Claudio Turi,6195,SSC Napoli,6195,SSC Napoli,22408,Altamura S.S.,LOAN,loan transfer,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,704456,Nosa Edward Obaretin,6195,SSC Napoli,6195,SSC Napoli,749,FC Empoli,LOAN,loan transfer,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,535797,Lorenzo Sgarbi,6195,SSC Napoli,6195,SSC Napoli,2331,US Avellino 1912,LOAN,loan transfer,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,930623,Gianluca Vigliotti,6195,SSC Napoli,6195,SSC Napoli,46337,Pineto Calcio,LOAN,loan transfer,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,707295,Giuseppe Ambrosino,6195,SSC Napoli,6195,SSC Napoli,1385,Modena FC,LOAN,loan transfer,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,535797,Lorenzo Sgarbi,6195,SSC Napoli,6195,SSC Napoli,2921,Delfino Pescara 1936,LOAN,loan transfer,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,820633,Coli Saco,6195,SSC Napoli,6195,SSC Napoli,4106,Casertana FC,LOAN,loan transfer,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,566936,Antonio Cioffi,6195,SSC Napoli,6195,SSC Napoli,22045,Latina Calcio 1932,LOAN,loan transfer,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,397225,Alessandro Zanoli,6195,SSC Napoli,6195,SSC Napoli,410,Udinese Calcio,LOAN,loan transfer,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,521407,Walid Cheddira,6195,SSC Napoli,6195,SSC Napoli,1005,US Lecce,LOAN,loan transfer,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,820633,Coli Saco,6195,SSC Napoli,6195,SSC Napoli,322,Yverdon Sport FC,LOAN,loan transfer,TRANSFERMARKT_EXPANDED
2025/26,2025,OUT,885235,Luigi D'Avino,6195,SSC Napoli,6195,SSC Napoli,9818,Giugliano Calcio 1928,LOAN,loan transfer,TRANSFERMARKT_EXPANDED
